source,locality,country,latitude,longitude
Harris 2026,Struisbaai,South Africa,-34.78162,20.0471
Harris 2026,De Hoop,South Africa,-34.48769,20.48683
Harris 2026,Stilbaai,South Africa,-34.37077,21.43786
Harris 2026,Pansy Beach,South Africa,-34.160885,22.110974
Harris 2026,Wilderness,South Africa,-34.0037,22.6384
Harris 2024,Wreck Beach,South Africa,-34.09509,23.37414
Harris 2024,Solar Beach,South Africa,-34.08566,23.37151
Harris 2024,Robberg 5 Beach,South Africa,-34.07296,23.37343
Harris 2024,Keurboomstrand West,South Africa,-34.02041,23.4107
Harris 2024,Keurboomstrand,South Africa,-33.98084,25.65982
Harris 2024,Natures Valley,South Africa,-33.982805,23.557525
Harris 2024,Natures Valley East,South Africa,-33.98201,23.56161
Harris 2025,Maitlands,South Africa,-33.98618,25.28567
Harris 2025,Hobie Beach,South Africa,-33.98084,25.65982
Harris 2025,Kings Beach,South Africa,-33.96961,25.64656
Harris 2026,Orient Beach,South Africa,-33.02501,27.91542
Harris 2026,Wavecrest,South Africa,-32.57817,28.53371
Harris 2026,Bulungula,South Africa,-32.15263,29.00091
Harris 2026,Coffee Bay,South Africa,-31.98264,29.15217
Harris 2025,Mtunzini,South Africa,-28.96252,31.7718
Harris 2025,Cape Vidal,South Africa,-28.12134,32.55844
Harris 2025,Sodwana,South Africa,-27.53825,32.67602
Harris 2025,Manzengwenya,South Africa,-27.26215,32.77536
Haulofu et al 2026,Not Bosluisbaai,Namibia,-17.784764,11.770175
Haulofu et al 2026,Hoarusib,Namibia,-19.073767,12.555241
Haulofu et al 2026,Moewe Bay,Namibia,-19.445595,12.737884
Haulofu et al 2026,Toscanini,Namibia,-20.81634,13.389329
Haulofu et al 2026,Swakopmund,Namibia,-22.649704,14.527445
Haulofu et al 2026,Agate Beach,Namibia,-26.601506,15.176336
Harris 2026,Surfers Corner,South Africa,-34.108007,18.472228
Harris 2026,Sunset Beach,South Africa,-34.103812,18.48465
Harris 2026,Betty's Bay,South Africa,-34.358833,18.907478
Harris 2026,Grotto Beach,South Africa,-34.416109,19.29071
